Rk,Player,Pos,MP,PER,TSx,3PAr,FTr,ORBx,DRBx,TRBx,ASTx,STLx,BLKx,TOVx,USGx,OWS,DWS,WS,WS/48,BPM,VORP,LA_RAPM,LA_RAPM_Rank,LA_RAPM__Def,LA_RAPM__Def_Rank,LA_RAPM__Off,LA_RAPM__Off_Rank,RA_EFG,RA_EFG_Rank,RA_EFG__Def,RA_EFG__Def_Rank,RA_EFG__Off,RA_EFG__Off_Rank,RA_FTR,RA_FTR_Rank,RA_FTR__Def,RA_FTR__Def_Rank,RA_FTR__Off,RA_FTR__Off_Rank,RA_ORBD,RA_ORBD_Rank,RA_ORBD__Def,RA_ORBD__Def_Rank,RA_ORBD__Off,RA_ORBD__Off_Rank,RA_TOV,RA_TOV_Rank,RA_TOV__Def,RA_TOV__Def_Rank,RA_TOV__Off,RA_TOV__Off_Rank,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,PIPM,X1,X2
235,Kyle Lowry,PG,1901,17.9,0.589,0.583,0.399,1.7,12,7,31,1.8,1.1,15,23.1,0.2,0.8,1,0.052,-2.1,0,1.49,32,0.46,94,1.03,36,0.25,139,0.24,135,0.01,243,0.56,77,0.01,254,0.57,55,0.22,198,0.36,120,-0.14,300,0.54,63,0.49,37,0.06,206,1.2,59,0.71,74,0.49,113,2.83,-2.53244546,1.34909547
236,Kyle O'Quinn,C,258,18.1,0.541,0.319,0.264,13.7,28.3,21,19.1,0.9,7.3,18.3,16.5,0,0,0,-0.04,-3,0,-0.52,382,-0.46,405,-0.06,269,-0.61,451,-0.33,414,-0.28,405,-0.37,395,-0.2,360,-0.18,356,0.75,95,0.23,157,0.52,95,-0.15,341,-0.23,394,0.08,185,-0.93,424,-0.69,430,-0.24,335,-0.96,4.66219273,2.24984955
237,LaMarcus Aldridge,C,1754,19.8,0.571,0.198,0.241,6.3,17.8,12,11.4,1,4.4,7.8,23.6,0.6,0,0.6,0.129,-1.1,0.1,-0.14,291,-0.33,387,0.19,169,-0.18,333,0.11,191,-0.29,407,0.73,50,0.88,18,-0.15,341,0.92,70,1.56,4,-0.64,439,-0.49,450,-0.85,509,0.37,65,-0.05,257,0.02,253,-0.07,281,0.01,2.22178692,-0.151053467
238,Landry Shamet,SG,1294,9.2,0.599,0.764,0.179,0.5,6.5,3.6,9,0.7,0.6,8.7,13.3,0.8,2.4,3.1,0.099,-1.7,0.1,0.84,82,0.07,227,0.77,63,0.24,142,0.12,188,0.12,176,-1.11,495,-0.39,431,-0.72,484,-0.95,448,-0.4,414,-0.55,422,0.05,222,-0.28,412,0.32,80,-0.18,288,-0.56,409,0.38,137,-0.7,-1.4565037,-1.79727
239,Langston Galloway,SG,1702,12.3,0.584,0.611,0.157,2.2,7.8,5,8.8,1.4,0.5,6.5,15.9,0.2,1.2,1.4,0.073,-1.8,0,-0.77,416,-0.85,462,0.08,206,-0.41,408,-0.51,462,0.1,189,0.24,155,-0.45,450,0.69,35,-1.28,478,-1.19,495,-0.09,281,-0.33,400,-0.09,331,-0.23,401,-1.19,450,-1.61,504,0.42,130,-1.45,-1.58374958,-2.00406914
240,Larry Nance Jr.,C,1472,17.3,0.608,0.369,0.172,7.9,23.1,15.4,12.3,1.9,1.3,11.5,15.2,3.1,0.6,3.7,0.079,0.9,1.6,0.01,249,0.14,190,-0.15,307,-0.28,379,-0.19,367,-0.1,312,-0.25,351,-0.23,369,-0.02,266,1.67,22,0.88,33,0.79,61,0.19,154,0.21,122,-0.02,274,-0.2,296,-0.02,268,-0.18,315,1.52,1.83340191,-0.009557449
241,Lauri Markkanen,PF,1492,14.3,0.56,0.536,0.259,4.2,19.7,11.6,7.6,1.4,1.5,11,21.1,1.6,1.4,2.9,0.119,0.3,0.7,-0.22,320,0.02,255,-0.23,339,-0.54,436,0.03,238,-0.57,473,0.13,182,0.02,226,0.11,183,-0.85,434,-0.1,322,-0.75,454,0.39,94,0.28,93,0.11,166,-0.59,379,0.56,103,-1.16,480,0.07,1.05585181,-1.20979407
242,LeBron James,PG,2094,26,0.582,0.324,0.292,3.1,21,12.3,49.7,1.7,1.3,15.3,31.6,0.2,0.2,0.5,0.078,-3.3,-0.1,2.8,6,1.1,24,1.7,10,2.11,3,1.09,4,1.02,5,0.04,228,0.39,81,-0.35,419,0.73,98,0.36,121,0.37,131,0.58,54,0.62,23,-0.03,289,3.96,3,2.43,3,1.53,23,6.1,-2.00472589,4.07897688
243,Lonnie Walker,SG,767,11,0.515,0.266,0.199,2.8,13.4,8.1,8.4,1.8,1.5,9.6,18.2,2.1,0.9,3,0.115,0,0.6,0.17,196,0.01,272,0.18,175,0.01,248,0.01,262,0.01,246,-0.27,355,-0.11,317,-0.16,346,-0.69,412,-0.11,329,-0.58,425,0.54,65,-0.05,299,0.58,20,0.27,184,-0.08,296,0.35,142,-0.68,-0.572105349,-0.997337935
244,Lonzo Ball,PG,1817,13.7,0.529,0.578,0.107,3.6,16.6,10.1,29.3,2,1.4,20.7,18.6,2.2,2.3,4.5,0.211,2.1,1.1,-0.4,352,0.32,129,-0.71,442,0.57,73,0.47,63,0.1,187,0.41,110,0.55,54,-0.14,339,1.31,35,0.9,31,0.41,122,-0.42,430,-0.16,372,-0.25,413,0.67,119,0.78,66,-0.11,295,0.99,-1.67829183,2.19055037
245,Lou Williams,SG,1757,17.2,0.546,0.334,0.365,1.7,9.1,5.5,29.9,1.1,0.5,14.4,28.3,-0.1,1,0.8,0.054,-3,-0.2,-0.12,288,-0.89,471,0.77,62,0.07,212,0.22,141,-0.14,346,1.02,28,0.16,155,0.86,20,-1.04,458,-1.33,502,0.29,148,-0.46,443,-0.42,456,-0.05,300,0.09,218,-0.03,272,0.12,202,-1.73,-3.45323471,1.02680181
246,Luguentz Dort,SG,637,7.3,0.521,0.465,0.229,2.7,6.6,4.7,4.5,1.8,0.3,8,13,1.2,0.4,1.6,0.13,0.3,0.3,0.03,232,-0.08,309,0.11,191,0.08,210,0.05,230,0.03,227,0.45,99,0.53,60,-0.08,299,-0.84,433,-0.38,406,-0.46,403,0.51,67,0.02,229,0.49,39,0.47,147,0.16,204,0.31,152,-1.94,-1.48717006,-1.33299378
247,Luka Dončić,PG,1799,27.7,0.584,0.442,0.442,4.1,24.7,14.6,45.3,1.6,0.5,14.6,37,2.1,0.9,3,0.1,-0.7,0.5,1.23,51,-0.83,459,2.06,3,0.76,50,-0.24,387,1.01,6,1.94,4,0.67,38,1.28,7,0.62,115,0.03,246,0.59,83,-0.46,441,-0.67,498,0.22,112,1.42,50,-0.72,433,2.14,6,4.9,-1.48843794,2.66643063
248,Luke Kennard,SG,922,14.4,0.589,0.535,0.219,1.1,11.1,6,19.2,0.6,0.5,10.3,19.8,0.4,0.2,0.7,0.05,-0.5,0.3,0.12,211,-0.48,409,0.59,95,0.45,93,0.07,215,0.39,84,0.11,199,0.01,250,0.11,185,0.33,173,0.14,193,0.2,173,-0.43,433,-0.28,414,-0.15,363,0.57,133,-0.09,302,0.66,89,-0.41,-1.5252511,-0.032072005
249,Luke Kornet,C,559,12.7,0.539,0.578,0.15,4.1,12.9,8.3,8.5,0.9,4.4,6.6,16.3,0.1,0,0.1,0.208,2.5,0,0.22,184,-0.03,289,0.25,158,-0.28,377,-0.24,386,-0.04,272,-0.65,456,0.07,198,-0.72,483,-1.86,503,-0.39,412,-1.47,506,0.53,66,0.01,279,0.54,29,-0.48,359,-0.16,319,-0.32,356,-0.84,1.4922798,-0.582664148
250,Malcolm Brogdon,PG,1472,17.8,0.537,0.296,0.246,3,13.8,8.5,34.5,1.1,0.5,13.6,25.2,-0.1,0,-0.1,-0.053,-9.8,-0.2,1.58,28,1.05,27,0.53,103,0.27,134,0.42,72,-0.15,347,0.35,123,0.13,171,0.21,132,-0.34,338,0.19,174,-0.53,420,0.01,271,0.03,223,-0.04,290,0.83,102,1.11,36,-0.28,348,0.95,-2.25519013,2.59425124
251,Malcolm Miller,SF,125,4.7,0.432,0.792,0.25,0.9,10.8,5.9,8.3,1.5,1.5,10.1,10.1,1,0.8,1.8,0.095,-0.6,0.3,-0.25,327,-0.27,368,0.02,233,0.73,51,0.4,77,0.33,98,-0.35,380,-0.43,443,0.09,193,-0.05,271,-0.28,383,0.23,168,-0.2,362,-0.16,371,-0.04,296,1.02,78,0.42,134,0.6,99,-0.56,-1.8504481,-2.08874907
252,Malik Beasley,SG,1209,12.7,0.546,0.517,0.124,1.6,11.9,6.6,9.4,1.6,0.6,9.2,21.8,0.4,1.4,1.8,0.086,0.3,0.6,-0.9,436,-0.68,441,-0.21,328,-0.55,440,-0.89,501,0.33,99,0.02,242,-0.21,364,0.23,125,0.8,92,0.05,236,0.75,63,0.24,135,0.17,145,0.06,200,0.06,228,-0.96,457,1.02,49,-2.29,-1.73748189,-1.44348013
253,Malik Monk,SG,1169,12.7,0.53,0.418,0.205,2.4,12.6,7.3,16.6,1.1,1.3,12.6,22.9,0.1,0,0.1,0.222,-3.1,0,-2.24,509,-1.39,506,-0.84,459,-1.27,501,-0.37,424,-0.91,507,0.44,102,0.34,92,0.1,187,-2.6,512,-1.88,513,-0.72,449,-0.18,349,-0.29,421,0.11,167,-2.62,510,-1.03,469,-1.59,504,-2.99,-1.23391194,0.023109412
254,Marc Gasol,C,990,11.9,0.546,0.538,0.153,3.2,20.8,12.2,16.9,1.3,3.2,14.6,12.7,-0.1,0.2,0.1,0.037,-2.9,0,0.6,115,1.22,16,-0.62,420,1.09,22,0.53,48,0.56,40,0.38,116,1.17,7,-0.79,491,-0.94,445,0.08,219,-1.02,486,0.64,47,0.54,30,0.1,171,2.16,16,1.85,6,0.3,155,2.18,1.53975978,1.41221021
255,Marco Belinelli,SG,779,10.2,0.521,0.572,0.151,0.6,11.9,6.2,11.3,0.6,0.1,5.2,17,2.1,0.5,2.6,0.086,-0.1,0.7,0.03,233,-0.63,436,0.66,78,0.29,130,-0.33,413,0.62,35,-0.5,427,0.53,61,-1.02,506,0.44,150,0.4,112,0.04,225,-0.1,321,-0.29,417,0.18,125,0.27,183,-0.5,398,0.77,73,-0.49,-0.657412635,-1.25155045
256,Marcus Morris,SF-PF,1727,14.8,0.567,0.432,0.279,3.3,14.2,8.6,6.9,1.2,1.4,9.5,22.8,2,1.4,3.4,0.151,0.6,0.7,1.11,62,0.49,88,0.62,88,0.15,175,0.08,202,0.06,207,-0.22,339,-0.41,438,0.19,148,0.95,68,0.53,80,0.42,117,0.14,175,-0.35,436,0.49,41,0.88,92,-0.04,278,0.92,59,-0.22,-0.383027121,-2.19270718
