Rk,Player,Pos,MP,PER,TSx,3PAr,FTr,ORBx,DRBx,TRBx,ASTx,STLx,BLKx,TOVx,USGx,OWS,DWS,WS,WS/48,BPM,VORP,LA_RAPM,LA_RAPM_Rank,LA_RAPM__Def,LA_RAPM__Def_Rank,LA_RAPM__Off,LA_RAPM__Off_Rank,RA_EFG,RA_EFG_Rank,RA_EFG__Def,RA_EFG__Def_Rank,RA_EFG__Off,RA_EFG__Off_Rank,RA_FTR,RA_FTR_Rank,RA_FTR__Def,RA_FTR__Def_Rank,RA_FTR__Off,RA_FTR__Off_Rank,RA_ORBD,RA_ORBD_Rank,RA_ORBD__Def,RA_ORBD__Def_Rank,RA_ORBD__Off,RA_ORBD__Off_Rank,RA_TOV,RA_TOV_Rank,RA_TOV__Def,RA_TOV__Def_Rank,RA_TOV__Off,RA_TOV__Off_Rank,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,PIPM,X1,X2
277,Mike Scott,PF,1119,10.2,0.539,0.639,0.094,5.7,16.5,11.1,5.9,0.8,0.4,6.7,13.8,1,1.4,2.4,0.064,-2,0,0.49,126,-0.18,345,0.67,77,0.84,44,0.15,176,0.69,27,-0.54,439,-0.57,470,0.03,233,2.27,6,0.74,47,1.53,12,0.06,210,-0.09,326,0.15,144,1.8,29,0.37,151,1.43,28,-1.05,0.098428964,-2.14162619
278,Miles Bridges,SF,1995,12.1,0.52,0.398,0.174,4.6,15.6,9.9,9.4,1,2.2,10.5,20,0.4,0.4,0.8,0.142,1,0.2,-2.2,507,-2.05,513,-0.14,304,-0.63,456,-0.37,425,-0.26,398,-0.75,466,0.28,107,-1.03,507,0.38,163,-0.33,395,0.71,68,-0.89,496,-0.7,500,-0.19,381,-2.12,500,-1.33,490,-0.79,438,-2.89,0.616766876,-1.57718222
279,Mitchell Robinson,C,1412,23.5,0.726,0,0.434,13.7,18.8,16.2,3.9,1.8,8,8.3,13.3,1.8,2.2,4,0.104,0.8,1.3,1.1,63,0.43,103,0.67,75,0.05,223,0.18,157,-0.13,339,0.5,89,-0.34,410,0.84,22,2.32,5,0.11,201,2.2,3,-0.34,409,-0.31,425,-0.04,292,0.28,181,0.03,246,0.25,170,1.94,4.11927483,0.210306336
280,Mo Bamba,C,868,17.8,0.549,0.369,0.163,11.7,25.7,18.5,7.3,1.2,8.9,12.2,17.2,0.8,0.9,1.7,0.091,-1.6,0.1,0.27,162,0.25,156,0.02,232,0.06,215,0.31,105,-0.24,393,-0.39,400,0.03,218,-0.42,434,1.13,48,-0.48,434,1.61,7,0.44,84,0.28,96,0.16,136,1.15,66,0.76,71,0.39,136,0.87,4.5395861,0.386364075
281,Monte Morris,PG,1402,14.9,0.537,0.298,0.128,1.6,7.3,4.4,23.3,1.9,1.1,8.1,17.2,0.7,0.4,1.1,0.129,-0.2,0.2,0.8,86,0.37,113,0.42,120,0.39,106,0.16,171,0.24,132,0.13,188,0.35,88,-0.22,370,-0.69,411,-0.63,452,-0.06,273,0.55,62,0.16,149,0.39,59,0.78,106,0.38,145,0.4,133,-1,-2.73883022,1.09489145
282,Montrezl Harrell,C,1749,23.1,0.607,0.022,0.432,9.9,16.2,13.1,10.3,1.1,3.6,10.1,25.5,0.4,0.5,0.9,0.059,-2.1,0,0.78,88,0.04,240,0.74,66,1.15,15,0.64,31,0.52,51,1.57,5,0.29,106,1.29,6,0.25,191,-0.2,357,0.45,112,-0.28,383,0.05,209,-0.32,434,1.78,31,0.65,84,1.13,38,0.59,2.0557077,0.132327001
283,Moritz Wagner,C,707,16.6,0.666,0.294,0.36,7.6,22.8,14.9,10.1,1.5,2.1,17.2,18.8,1,1.2,2.2,0.067,-2.4,-0.1,-0.67,397,0.02,253,-0.69,438,-0.33,392,-0.4,436,0.07,204,0.16,176,0.17,148,0.01,259,-0.46,370,0.06,231,-0.52,417,0.31,113,0.69,19,-0.38,460,-0.22,307,-0.17,322,-0.05,273,-0.43,2.85944339,1.01809538
284,Myles Turner,C,1628,14.7,0.561,0.443,0.279,4.8,19.5,12.2,5.1,1.3,6.5,10.5,17.5,1.7,1.5,3.2,0.14,1.1,0.8,0.6,113,1.25,15,-0.64,427,0.05,224,0.39,80,-0.35,427,0.01,254,0.48,68,-0.49,450,-0.04,266,0.34,126,-0.38,381,0.08,199,0.01,271,0.09,179,0.25,191,1,42,-0.76,430,1.29,3.04093538,-0.592268316
285,Nassir Little,PF,573,9.7,0.505,0.391,0.291,5.7,13.7,9.8,5.1,1.1,2.1,8.1,13.7,-0.1,0,-0.1,-0.285,-17.3,0,0.01,248,-0.22,354,0.22,162,-0.18,335,-0.2,371,0.02,239,-0.67,458,-0.34,412,-0.33,413,-0.66,405,-0.91,479,0.25,163,0.43,88,0.03,222,0.4,55,-0.39,345,-0.74,437,0.35,143,-2.06,0.487161417,-1.43638398
286,Naz Reid,C,495,15.3,0.505,0.399,0.218,7,19.9,13.2,11.2,1.8,3.7,7.6,24,1.7,1.9,3.6,0.09,-0.6,0.7,-0.7,401,-0.31,380,-0.39,387,0.28,132,0.11,190,0.17,154,-0.52,433,-0.08,297,-0.43,438,0.41,153,1.2,7,-0.79,463,0.37,98,-0.19,384,0.56,26,0.98,83,0.54,109,0.44,124,0.2,1.76966227,0.06152415
287,Nemanja Bjelica,PF,1821,15.6,0.597,0.488,0.121,6.5,19.4,12.8,14.6,1.4,1.7,12.6,17.4,0,0,0,0.017,-5.9,0,-0.29,336,-0.9,473,0.61,90,0.23,146,-0.36,423,0.59,36,-1.21,502,0.12,177,-1.33,513,0.17,208,-0.03,278,0.2,172,0.05,219,-0.09,328,0.14,152,-0.33,339,-0.76,440,0.43,128,0.4,1.29007883,-0.434351134
288,Nerlens Noel,C,1014,21.7,0.714,0.012,0.386,9.3,20,14.8,7.9,2.7,6.9,15.4,15.3,0,0,0,0.011,-5.9,0,-0.15,296,0.17,181,-0.32,367,0.01,242,0.21,142,-0.2,371,-0.14,307,0.02,228,-0.16,348,-1.71,493,-1.22,497,-0.49,407,0.59,53,0.55,29,0.04,223,0.06,233,0.38,147,-0.32,358,0.7,3.52077716,1.40752826
289,Nickeil Alexander-Walker,SG,501,7.6,0.441,0.515,0.123,1.7,15.2,8.4,20.3,1,1.2,14.3,22.8,0.5,0.7,1.2,0.066,-0.1,0.4,-0.87,430,-0.89,472,0.02,231,-0.13,312,-0.27,391,0.13,166,-0.46,418,-0.52,463,0.06,215,-1.04,459,-0.64,453,-0.4,391,0.15,169,-0.2,388,0.35,71,-0.68,400,-0.98,459,0.3,154,-2.62,-1.75168545,-0.325378586
290,Nicolas Batum,SF,505,9.2,0.463,0.605,0.123,5.2,16.8,10.8,18.3,1.7,1.5,20.5,9.4,0.5,0.7,1.2,0.069,0.1,0.4,0.21,186,0.05,236,0.16,183,0.11,186,-0.43,440,0.53,49,-0.87,481,-0.27,382,-0.61,465,-0.36,344,0.03,247,-0.4,388,0.13,180,0.05,208,0.08,186,0.13,211,-0.5,399,0.63,95,-0.61,-0.376072955,0.750193884
291,Nicolò Melli,C,889,12.3,0.583,0.647,0.216,4.4,14.3,9.3,10.2,1.6,1.8,12.1,15.9,-0.1,0,-0.1,-0.066,-6,-0.1,-1.36,483,-0.27,366,-1.09,488,-0.56,441,-0.46,452,-0.1,318,-0.37,393,0.12,179,-0.5,452,-1.4,483,-0.47,432,-0.93,477,-0.14,335,0.2,131,-0.34,447,-1.44,471,-0.79,445,-0.65,416,-1.71,0.871201206,-0.164353746
292,Nikola Jokić,C,2101,25,0.604,0.233,0.277,8.2,26.9,17.6,34.3,1.8,1.9,15.7,26.6,0.3,0.2,0.5,0.056,-5.4,-0.3,1.16,54,0.35,121,0.81,57,0.42,100,0.05,228,0.37,89,0.32,129,0.49,65,-0.17,350,0.53,135,0.31,131,0.22,170,0.16,163,0.19,141,-0.03,278,1.2,61,0.53,112,0.67,85,3.66,1.22961816,2.77659391
293,Nikola Vučević,C,1763,21.6,0.54,0.274,0.16,7.6,29.4,18.1,20,1.3,2.4,7.3,25.8,0.9,0.6,1.5,0.118,0.4,0.4,1.25,49,0.76,53,0.49,109,-0.35,397,-0.38,428,0.03,234,1.29,13,1.3,3,-0.02,267,0.22,197,1.15,11,-0.93,478,1.01,9,0.43,52,0.58,22,0.73,115,0.41,137,0.31,150,2.95,3.11044383,1.0322969
294,Noah Vonleh,C-PF,364,15.6,0.621,0.169,0.337,10.4,25.9,17.9,10.7,1.4,1.4,17,14,0,0,0,-0.066,-10.1,-0.1,-0.79,420,0.18,177,-0.97,471,-0.28,380,0.31,102,-0.6,477,0.01,249,0.07,199,-0.07,295,-1,454,-0.94,482,-0.06,271,-0.06,298,0.01,261,-0.06,310,-0.82,412,0.37,150,-1.2,485,-1.67,2.92067964,1.04450801
295,Norman Powell,SG,1269,17.4,0.629,0.457,0.252,2,11.2,6.7,9.7,2.1,1.3,10,21.5,0.1,0.4,0.4,0.049,-1.6,0,-0.05,263,0.07,226,-0.12,298,0.88,40,0.68,24,0.2,148,-0.3,371,-0.07,287,-0.24,374,-2.76,514,-1.24,499,-1.51,509,0.39,95,0.1,177,0.29,86,0.84,98,0.76,70,0.08,224,0.47,-0.676927438,-0.665881896
296,OG Anunoby,SF,1897,13.2,0.598,0.408,0.163,4.2,14.6,9.5,7.5,2.2,2.1,11.7,14.4,-1,0.5,-0.6,-0.074,-7.1,-0.5,0.65,104,0.46,93,0.18,177,-0.12,304,-0.35,421,0.23,137,0.7,57,0.9,14,-0.2,364,-0.49,380,0.41,107,-0.9,474,0.89,14,0.68,20,0.22,113,0.71,116,0.26,182,0.45,123,1.35,0.619546929,-0.382044442
297,Omari Spellman,PF,886,14.4,0.551,0.373,0.312,9.1,18,13.4,8.1,1.8,2.4,13.9,18.8,1.7,1.3,3,0.162,2.2,1,-1.02,452,0.12,204,-1.14,490,-1.32,505,-0.29,401,-1.03,510,1.12,22,0.6,47,0.52,61,0.7,105,0.12,198,0.58,87,-0.52,454,-0.34,432,-0.18,379,-1.64,484,-0.48,396,-1.16,481,-1.45,1.29906482,-0.01971294
298,Pascal Siakam,PF,1882,18.7,0.559,0.32,0.275,3.3,18.8,11.2,17,1.3,2.5,10.5,28.5,0.1,0,0.1,0.451,13.7,0,0.15,200,0.41,108,-0.26,352,0.92,36,0.43,70,0.49,57,0.07,214,0.02,231,0.05,226,0.06,239,0.83,39,-0.77,460,0.75,36,0.32,80,0.42,48,2.31,12,1.35,23,0.96,53,3.19,0.814134356,-0.122207486
299,Pat Connaughton,SG,1119,11.2,0.558,0.525,0.138,5.3,16.9,11.4,10.6,0.8,2.3,14.5,11.9,-1.6,0.4,-1.2,-0.047,-6.6,-1.5,1.08,66,0.16,186,0.92,50,0.15,172,0.21,144,-0.06,289,0.53,81,0.25,117,0.28,108,1.65,23,0.64,59,1.01,37,-0.62,470,-0.68,499,0.06,199,0.07,225,-0.02,270,0.09,219,-1.26,0.014858722,-0.955572353
300,Patrick Beverley,PG,1299,12.3,0.554,0.609,0.126,4.6,15.7,10.3,18.2,1.9,1.7,15.7,13,-0.3,0.6,0.3,0.011,-3.7,-0.5,2.25,11,1.51,6,0.74,69,0.91,37,0.53,47,0.38,86,0.2,164,0.01,247,0.2,144,1.21,42,0.35,123,0.86,55,0.61,50,0.63,22,-0.02,276,2.43,8,1.47,17,0.96,54,2.82,-1.2039307,0.249491603
301,Patrick McCaw,SF,908,7.3,0.5,0.438,0.111,2.3,7.6,5,11.4,2,0.4,14.6,9.4,1,0.9,2,0.141,0.8,0.5,-0.97,444,0.04,239,-1.01,476,-0.18,332,0.01,264,-0.18,362,-1.03,489,-0.56,467,-0.47,446,-1.12,465,0.16,181,-1.28,501,0.01,261,0.19,139,-0.19,380,-1,435,-0.06,289,-0.94,460,-2.7,-1.59887055,-0.083105327
302,Patrick Patterson,PF,607,11.7,0.576,0.755,0.181,5.2,15.1,10.3,6.9,0.5,0.4,8.1,15.1,0.4,0.4,0.8,0.112,1,0.3,0.05,227,0.7,61,-0.65,430,-0.17,331,-0.1,328,-0.07,295,-0.28,360,0.01,239,-0.29,394,0.22,194,0.31,133,-0.09,279,0.04,229,0.46,45,-0.42,470,0.09,219,0.43,133,-0.33,360,-0.81,1.34288306,-0.619171176
303,Patty Mills,PG,1430,14.7,0.589,0.675,0.188,1.4,6,3.7,11.3,1.7,0.4,7.6,20.5,0.9,1,1.9,0.064,-1,0.3,1.65,24,0.27,151,1.38,20,0.24,144,-0.27,393,0.51,52,0.68,60,0.06,209,0.61,50,-0.56,386,-0.32,391,-0.24,336,0.87,18,0.36,72,0.51,32,1.57,39,-0.21,334,1.78,13,1.52,-2.42659329,-1.19153905
304,Paul George,SF,1222,20.5,0.582,0.494,0.277,1.9,18.1,10.2,21.2,2.2,1.4,13,29.6,1.7,2.6,4.3,0.129,1.5,1.4,0.86,78,0.51,85,0.35,141,0.94,34,0.26,125,0.68,28,-0.05,273,0.35,90,-0.4,432,-0.46,369,-0.37,405,-0.09,280,0.05,220,0.13,160,-0.08,323,1.56,43,0.58,98,0.98,51,3.21,-0.845295077,0.542837825
305,Paul Millsap,PF,1075,17.7,0.598,0.282,0.326,9,17.9,13.5,9.5,1.7,2.4,12.1,20.3,2.6,1.1,3.7,0.169,1.4,0.9,1.6,27,0.95,36,0.65,83,0.69,60,0.48,61,0.21,146,-0.43,407,0.01,234,-0.44,439,1.3,36,0.29,142,1.01,36,0.67,43,0.37,66,0.3,83,1.98,23,1.32,24,0.65,92,2.38,1.5648993,-0.011831661
306,PJ Dozier,PG,234,9.3,0.449,0.308,0.121,2.4,11.9,7.1,17.5,1.5,2,10.3,19.8,0,0,0,0.044,-5.8,0,0.65,103,0.44,98,0.21,163,-0.08,291,-0.06,302,0.01,253,-0.52,432,-0.08,290,-0.44,440,1,61,0.69,49,0.31,143,0.14,173,0.04,217,0.1,172,0.29,179,0.16,203,0.13,200,-1.23,-1.7926152,0.227854163
307,PJ Tucker,PF,2203,8.7,0.58,0.687,0.118,4.8,16.2,10.5,5.9,1.5,1.2,14.6,8.6,1,1.7,2.7,0.062,-0.3,0.9,1.13,57,0.13,201,1,41,0.27,135,0.01,255,0.26,123,0.8,46,0.71,33,0.1,189,0.14,212,0.11,205,0.03,230,0.03,239,-0.06,310,0.09,176,0.84,99,0.12,217,0.72,81,0.06,0.516941182,-1.68232834
308,PJ Washington,PF,1759,12.4,0.547,0.39,0.231,3.5,16.6,9.8,11.3,1.5,2.3,12.5,18.6,3.2,0.6,3.7,0.125,0.4,0.9,-1.76,498,-0.06,300,-1.7,512,0.2,161,0.34,95,-0.14,344,0.35,122,0.82,26,-0.47,449,-1.86,502,-0.45,425,-1.41,505,-0.53,456,-0.06,305,-0.48,486,-0.51,363,0.69,77,-1.2,487,-1.43,1.47434761,0.090999724
309,Quinn Cook,PG,409,10.5,0.517,0.382,0.052,1.9,8.6,5.3,13.9,1.3,0.2,12.4,20.8,0.2,0.6,0.8,0.074,-1.9,0,0.76,92,0.3,135,0.45,115,0.51,81,0.49,60,0.02,237,0.23,158,0.18,145,0.05,225,0.11,220,0.07,224,0.04,226,0.15,170,-0.17,378,0.32,81,0.93,86,0.6,95,0.33,145,-1.89,-2.70272726,-0.108021852
310,Rajon Rondo,PG,984,12.4,0.494,0.381,0.125,2.6,12.9,7.9,32.4,1.9,0.2,20.8,18.7,1.3,1,2.2,0.077,-2.3,-0.1,0.15,204,0.01,265,0.15,186,-0.51,430,-0.47,453,-0.04,278,0.19,168,-0.02,259,0.21,135,-0.22,317,0.07,223,-0.29,354,0.22,141,0.06,198,0.15,142,-0.63,393,-0.55,406,-0.09,288,-1.79,-3.16223557,2.42520092
311,Raul Neto,PG,565,11.5,0.562,0.406,0.177,2.1,8,5.1,19.3,1.9,0.8,18.2,17.6,3.2,1.5,4.7,0.116,0.3,1.1,-0.17,309,0.52,83,-0.7,439,-0.06,284,0.31,106,-0.37,433,-0.34,378,-0.31,403,-0.03,276,-0.82,428,-0.17,346,-0.65,440,-0.4,422,0.22,118,-0.62,501,-0.14,276,1,44,-1.14,479,-2.41,-2.18869372,1.59388329
312,Reggie Bullock,SG,684,9.3,0.502,0.496,0.094,2,8.8,5.3,8.8,1.8,0.4,7.5,15.6,1.5,0.6,2.1,0.067,-1.7,0.1,-0.13,290,-0.04,295,-0.09,279,-0.23,357,0.07,216,-0.3,413,-0.33,377,-0.27,386,-0.06,288,0.73,97,0.9,30,-0.17,312,0.01,266,-0.04,292,0.04,219,-0.32,335,0.19,195,-0.5,391,-1.62,-1.90919706,-1.29888771
313,Reggie Jackson,PG,556,15,0.533,0.44,0.167,3,10.2,6.6,28.7,0.9,0.8,12.7,24.5,0.5,0.2,0.7,0.147,-1.1,0.1,0.41,136,-0.05,299,0.47,112,0.57,71,0.34,94,0.23,134,0.62,71,0.12,180,0.49,65,0.28,187,0.03,250,0.25,161,0.06,215,-0.35,435,0.41,53,1.23,57,0.2,194,1.03,48,0.66,-2.72207716,1.70015216
314,Richaun Holmes,C,1125,20.5,0.685,0,0.312,11.5,21.3,16.3,5.4,1.7,4.7,11.8,16,-0.1,0.1,0.1,0.011,-3.9,-0.1,1.7,22,0.79,51,0.91,51,0.2,160,0.08,206,0.12,172,1.2,18,0.99,10,0.21,136,0.31,178,-0.4,415,0.72,66,0.62,49,0.28,91,0.34,75,1.16,64,0.56,104,0.6,102,1.74,3.54386763,0.685868464
315,Ricky Rubio,PG,1802,16.3,0.531,0.308,0.334,2.5,14,8.2,39.9,2.3,0.4,18.1,20.2,0,0,0,0.006,-5.7,0,1.49,33,0.74,55,0.74,67,0.49,83,-0.07,303,0.56,41,0.52,83,0.49,64,0.03,234,1.25,37,1.19,8,0.05,223,0.66,46,0.71,17,-0.05,305,1.56,41,0.66,80,0.9,60,3.58,-2.88578082,3.20179309
316,RJ Barrett,SG,1704,10.7,0.479,0.271,0.349,3,14.8,8.7,12.8,1.6,0.9,12.9,24,4.8,2,6.8,0.23,3,1.8,-1.65,494,-0.87,466,-0.78,453,-1.56,513,-0.93,505,-0.63,482,0.87,40,-0.28,389,1.15,10,-0.83,429,-1.88,514,1.06,32,0.35,100,0.29,86,0.06,202,-2.42,508,-1.82,505,-0.6,409,-3.35,-1.31890399,-1.07264066
317,Robert Covington,PF,1867,13.6,0.571,0.654,0.167,3,19.9,11.2,5.8,2.4,3.6,11.8,17.4,-0.1,0,0,-0.191,-15.5,0,1.15,55,0.01,266,1.15,31,0.23,148,0.09,201,0.15,162,-0.84,475,-0.46,452,-0.38,427,0.32,177,0.32,129,0.01,246,0.1,190,0.09,180,0.01,244,0.19,200,-0.04,277,0.22,181,1.69,0.683589288,-2.7122578
318,Robert Williams,C,323,19.6,0.671,0,0.403,11.4,24.3,17.9,9.5,3,8,21.5,12.3,1,1.8,2.9,0.08,-0.4,0.7,-0.11,284,-0.13,333,0.01,241,-0.06,285,-0.23,379,0.16,159,0.09,209,0.07,205,0.02,241,-1.16,469,-1.18,494,0.01,237,0.37,97,0.49,36,-0.12,343,-0.18,289,-0.27,356,0.1,215,0.81,4.08875632,2.07876239
319,Robin Lopez,C,862,11.1,0.565,0.352,0.158,6.3,10.2,8.4,6.4,0.5,4.1,15.6,16.6,1.9,1.1,3,0.067,-0.4,0.8,0.23,176,0.61,75,-0.38,383,0.24,141,0.2,145,0.04,218,-0.38,398,0.35,89,-0.73,486,1.05,56,0.56,74,0.49,105,-1.5,514,-0.71,502,-0.79,508,-0.69,402,0.01,260,-0.69,421,-2.54,1.40920693,0.269050773
320,Rodions Kurucs,PF,501,8.4,0.554,0.485,0.209,3.8,15.8,10,9.4,1.6,0.5,19.3,15.1,2.4,1.7,4.1,0.109,0.7,1.2,-0.64,393,0.17,180,-0.81,457,0.49,85,0.73,21,-0.24,390,-0.94,484,-0.66,487,-0.28,389,0.32,176,-0.21,359,0.52,94,-0.67,475,-0.12,348,-0.55,492,-0.31,334,0.77,68,-1.08,471,-2.01,-0.662100066,-0.598730155
321,Rodney Hood,SF,619,12.2,0.625,0.413,0.157,1.7,10.2,6,7.1,1.3,0.5,9.4,13.9,1.1,0.7,1.8,0.06,1.9,1.4,-0.32,341,0.01,260,-0.33,371,0.55,74,0.28,123,0.27,117,-1.21,503,-0.58,472,-0.62,467,-0.48,375,0.28,145,-0.76,455,0.23,137,0.21,125,0.02,238,0.36,162,0.23,188,0.12,201,-0.63,-0.212534245,-0.525442552
322,Rodney McGruder,SG,749,6.5,0.472,0.506,0.179,3.7,13.7,8.8,5.1,1.4,0.9,11.1,10.5,0.9,0.4,1.3,0.059,2.6,1.2,-0.17,305,-0.46,404,0.29,151,0.19,165,0.08,204,0.11,179,0.04,234,-0.6,477,0.64,45,-0.43,363,0.08,217,-0.51,416,-0.74,482,-0.72,503,-0.02,273,-0.21,302,-0.43,384,0.22,182,-2.5,-0.465436688,-2.34105124
323,Romeo Langford,SG,298,6,0.465,0.359,0.359,5.1,6.4,5.8,2.6,1.3,1.9,10.8,11.9,0.2,0.3,0.5,0.064,0.2,0.2,0.18,192,0.13,197,0.05,220,0.1,190,0.31,104,-0.2,374,-0.71,463,-0.71,492,0.01,248,0.99,62,0.76,45,0.24,164,0.29,115,-0.2,387,0.49,37,0.51,139,0.27,179,0.23,176,-1.95,-0.992892979,-1.72397372
324,Rondae Hollis-Jefferson,SF,998,15.5,0.533,0.058,0.437,11,15.8,13.4,12.9,2.1,2.1,12.2,17.2,4.2,3.3,7.6,0.168,3.2,2.9,1.88,18,0.94,37,0.94,49,-0.63,457,0.01,266,-0.63,483,0.33,126,-0.36,421,0.69,34,2.48,3,0.04,244,2.44,2,1.04,7,1.03,8,0.02,242,0.44,152,0.57,101,-0.13,303,-0.3,0.054447745,0.587666505
325,Royce O'Neale,PF,1862,9.3,0.584,0.657,0.153,1.4,17.8,10,11.5,1.2,1.3,12.7,9.3,-0.1,0,-0.1,-0.252,-11.9,0,1.35,43,0.39,111,0.96,48,1.3,10,0.52,51,0.78,15,1.19,19,0.79,27,0.4,77,0.08,235,0.59,67,-0.51,414,-0.33,398,-0.42,457,0.09,174,1.8,30,0.53,111,1.27,33,2.08,0.13736823,-1.27670736
326,Rudy Gay,PF,1287,14.4,0.545,0.369,0.225,4.7,22.3,13.5,11.3,1,1.9,12.4,21.3,0.4,0.4,0.8,0.117,-1.8,0,0.74,96,0.9,39,-0.17,314,-0.66,460,-0.12,335,-0.54,469,0.47,93,0.48,67,0.01,257,-0.38,351,0.63,65,-1.01,484,0.15,168,0.1,175,0.05,211,-0.39,344,0.27,178,-0.66,418,-0.28,1.86785674,-0.247466492
327,Rudy Gobert,C,2142,21.7,0.7,0,0.725,11.3,31.3,21.8,6.5,1.1,4.8,15.2,16.1,1.5,1.2,2.7,0.091,-0.9,0.4,1.64,25,0.99,32,0.66,80,1,29,0.46,66,0.54,46,1.28,15,0.82,25,0.45,72,0.45,148,0.83,40,-0.38,382,-0.58,463,-0.26,408,-0.31,430,1.47,46,1,43,0.47,120,4.52,6.54554968,-0.129983461
328,Rui Hachimura,PF,1217,13.9,0.543,0.16,0.243,5.5,17.4,11.2,8.3,1.3,0.5,7.5,18.7,1.8,1.7,3.5,0.09,-1.2,0.4,-1.55,487,-0.87,465,-0.69,436,-0.96,490,-1.17,510,0.21,142,-0.2,334,-0.14,330,-0.07,290,-1.79,497,-0.96,483,-0.82,467,0.05,221,0.21,124,-0.16,372,-1.73,490,-1.55,503,-0.18,317,-2.32,1.36291143,-0.54146642
329,Russell Westbrook,PG,1905,21.5,0.539,0.168,0.289,5.1,18.4,11.7,35,2.1,0.8,14.9,34.4,0.1,0,0.1,0.02,-5.3,-0.2,0.41,138,0.3,137,0.11,196,-0.19,339,-0.08,314,-0.11,322,0.51,87,0.39,82,0.12,181,-0.48,377,-0.32,393,-0.16,307,0.91,12,1.06,5,-0.15,361,0.71,117,1.06,39,-0.35,365,0.7,-1.51407838,2.81081053
330,Ryan Arcidiacono,PG,930,9,0.551,0.627,0.173,2.3,11.2,6.5,14.3,1.4,0.3,13.5,12.5,1,1.1,2.1,0.089,-2.3,-0.1,-0.93,441,-0.08,308,-0.85,460,-0.68,464,-0.18,365,-0.5,462,-1.48,509,-0.59,475,-0.88,501,0.03,245,-0.24,367,0.27,154,0.81,28,0.39,61,0.42,49,-0.53,366,0.34,161,-0.87,452,-2.02,-1.62082961,-0.085444644
331,Sekou Doumbouya,SF,754,6.2,0.474,0.415,0.195,3,14.9,8.9,3.6,1.3,0.9,12,16.9,2.2,0.3,2.5,0.057,-1.8,0.1,-2.35,511,-1.48,510,-0.87,464,-0.91,488,-0.54,465,-0.37,434,-0.17,320,0.19,140,-0.37,422,-1.46,487,-1.34,503,-0.12,293,-0.38,420,-0.27,411,-0.11,342,-1.9,496,-1.17,480,-0.73,427,-3.88,0.118860529,-1.77766118
332,Semi Ojeleye,PF,891,7.6,0.557,0.616,0.176,2.9,11.9,7.5,4.5,1,0.5,6.5,8.8,1.7,1,2.7,0.1,-1.6,0.1,-1,448,0.14,193,-1.14,491,-0.34,394,0.46,65,-0.8,498,-0.15,311,0.17,151,-0.31,407,0.1,223,0.04,242,0.06,217,-0.56,462,-0.23,396,-0.33,441,-0.96,426,0.61,93,-1.57,502,-3.04,0.11543057,-1.51357573
333,Serge Ibaka,C,1377,18,0.593,0.266,0.191,8.2,23.3,15.9,8.8,0.8,2.9,12.9,24.1,-0.1,0,0,-0.227,-11.3,0,0.84,81,0.52,84,0.33,144,0.68,62,0.59,37,0.09,191,0.11,200,0.27,111,-0.17,349,-0.02,261,-0.15,340,0.13,191,-0.41,426,-0.29,420,-0.11,341,0.76,110,0.58,96,0.18,189,-0.33,2.71767212,-0.354320489
334,Seth Curry,SG,1448,16.2,0.65,0.564,0.165,1.9,8,5,12.1,1.2,0.5,9.5,18.6,-0.3,0.3,0,-0.001,-5.6,-0.2,1.4,38,-0.51,419,1.91,5,0.68,61,0.19,153,0.49,54,0.44,103,0.07,196,0.36,84,-0.95,449,-0.57,447,-0.39,385,0.01,276,-0.39,445,0.38,63,1.06,73,-0.29,361,1.35,29,-0.2,-1.71749505,-1.14950204
335,Shabazz Napier,PG,1234,14.5,0.555,0.538,0.341,2.1,10.8,6.3,29.1,2.5,0.6,18.9,19.6,2,3.2,5.2,0.133,2.2,2,0.24,172,1.05,28,-0.81,456,-0.51,426,-0.28,397,-0.23,384,0.59,75,0.31,100,0.28,110,-0.59,392,-0.15,339,-0.44,399,0.92,11,1.16,3,-0.24,405,0.31,171,0.87,54,-0.56,399,-0.04,-2.77485261,2.84255926
336,Shai Gilgeous-Alexander,SG,2214,17.8,0.566,0.237,0.339,2.3,16.4,9.6,14.8,1.5,1.7,9.8,23.7,0.1,0.2,0.3,0.01,-4.4,-0.8,-0.18,311,-0.93,479,0.75,65,-0.11,303,-0.22,376,0.11,177,1,29,0.73,31,0.28,111,-0.97,452,-0.1,323,-0.87,471,0.56,57,0.01,252,0.55,27,0.4,157,-0.39,379,0.79,71,1.03,0.010434714,-0.73384939
337,Shake Milton,SG,611,15.2,0.633,0.488,0.235,2,10.3,6.1,17.4,1.5,0.8,13.7,19.6,0.2,0.1,0.2,0.081,-2.1,0,0.22,183,-0.74,446,0.96,47,0.13,181,-0.18,363,0.3,108,-0.26,354,-0.45,451,0.19,145,0.05,240,0.41,103,-0.36,375,0.03,244,-0.64,493,0.66,13,0.12,212,-0.94,455,1.06,45,-0.73,-1.78657469,-0.175567541
